ID,Priorité,Module,Lien à tester,Quoi,Ce que je teste (étapes),Ce qui doit se passer,Statut,Sévérité,Capture d'écran (coller ici),Bug / Notes,Navigateur · Appareil,Testeur,Date
C16,P2,Promo & Checkout,https://v0-big-five-bootcamp-platform.vercel.app/checkout,Pays sans moyen de paiement,Je sélectionne un pays exotique sans moyen de paiement local (ex. Islande).,Un message clair m'explique la situation — la page de paiement ne casse pas.,À tester,,,,,,
C17,P2,Tableau de bord,https://v0-big-five-bootcamp-platform.vercel.app/dashboard,Logo X (Twitter),J'ouvre le tableau de bord et je regarde l'emplacement des logos de plateformes.,"Le logo de X (Twitter) est présent, au bon endroit, à la bonne taille.",À tester,,,,,,
C18,P2,Tableau de bord,https://v0-big-five-bootcamp-platform.vercel.app/dashboard,Nombre de campagnes réel,Je compare le nombre de campagnes affiché sur le tableau de bord avec le nombre réel (demander confirmation à l'admin si besoin).,Le chiffre correspond au nombre réel de campagnes — il n'est plus figé à 500.,À tester,,,,,,
C19,P2,#BigFiveDécrypte,https://v0-big-five-bootcamp-platform.vercel.app/dashboard,Bloc élargi sur le tableau de bord,J'ouvre le tableau de bord connecté et je regarde le bloc #BigFiveDécrypte à droite.,"Le bloc occupe toute la largeur disponible, aux mêmes dimensions que la bannière « Temps forts » — plus d'espace vide.",À tester,,,,,,
C20,P2,#BigFiveDécrypte,https://v0-big-five-bootcamp-platform.vercel.app/webinaires,Contact créé dans Mailchimp,"Je m'inscris à un webinaire avec une adresse test, puis je demande à l'équipe marketing de vérifier dans Mailchimp.",Le contact existe dans Mailchimp avec un tag au nom du webinaire (ex. Webinaire_Laveiye_Activation_Juin_2026) et son numéro de téléphone est renseigné.,À tester,,,,,,
C21,P2,#BigFiveDécrypte,https://v0-big-five-bootcamp-platform.vercel.app/webinaires,Pas de doublon Mailchimp,"Avec la même adresse, je m'inscris à un deuxième webinaire.","Dans Mailchimp, le contact n'est pas dupliqué : il a simplement reçu le tag du second webinaire.",À tester,,,,,,
C22,P2,Général,https://v0-big-five-bootcamp-platform.vercel.app/,Mode sombre désactivé,"Je parcours le site (accueil, tarifs, tableau de bord) et je cherche le bouton de changement de thème.",Tout s'affiche en mode clair. Le bouton clair/sombre n'est plus visible.,À tester,,,,,,
C23,P2,Général,https://v0-big-five-bootcamp-platform.vercel.app/,Ancienne préférence sombre ignorée,"Avec un compte qui utilisait le mode sombre avant, je me reconnecte.",Le site s'affiche en mode clair malgré l'ancienne préférence.,À tester,,,,,,
C24,P2,Emails,— (email hebdomadaire reçu),Alerte hebdo — contenus de la semaine uniquement,Je reçois (ou me fais transférer) l'alerte email hebdomadaire et je compare son contenu avec les campagnes ajoutées dans la semaine.,"L'email ne liste que les contenus ajoutés sur les 7 derniers jours : marques, secteurs, pays et axes créatifs correspondent à cette semaine, pas à toute la plateforme.",À tester,,,,,,
C25,P2,Mesure & pub,https://v0-big-five-bootcamp-platform.vercel.app/,Pixel Facebook — consentement,J'ouvre le site en navigation privée et je refuse les cookies dans le bandeau.,Aucun suivi publicitaire ne se déclenche tant que je n'ai pas accepté (l'équipe technique peut le confirmer avec l'outil de test Meta).,À tester,,,,,,
C26,P2,Mesure & pub,"https://v0-big-five-bootcamp-platform.vercel.app/ , /pricing , /register , /checkout",Pixel Facebook — événements,"Après acceptation des cookies : je visite l'accueil, la page tarifs, je crée un compte, j'initie un paiement et je finalise un paiement de test. L'équipe vérifie dans le gestionnaire d'événements Meta (Test Events).","Les événements apparaissent dans Meta : PageView (home et pricing), ViewContent (dashboard), Search (filtres/recherche), CompleteRegistration, InitiateCheckout, et Purchase uniquement après paiement confirmé (avec le bon montant en FCFA).",À tester,,,,,,
C27,P2,Admin — Segmentation,https://v0-big-five-bootcamp-platform.vercel.app/admin/audience,Titres des filtres,J'ouvre la vue Segmentation dans l'admin.,"Chaque filtre a un titre clair au-dessus, aligné avec les intitulés du tableau récapitulatif en dessous.",À tester,,,,,,
C28,P2,Admin — Segmentation,https://v0-big-five-bootcamp-platform.vercel.app/admin/audience,Supprimer un tag utilisateur,Je retire un tag déjà assigné à un utilisateur.,"Une confirmation m'est demandée, puis le tag disparaît de la fiche de l'utilisateur.",À tester,,,,,,
C29,P2,Admin — Contenus,https://v0-big-five-bootcamp-platform.vercel.app/admin/creatives/new,Upload d'une vidéo,"Dans l'admin, j'uploade une vidéo (format courant : .mp4).",L'upload réussit et la vidéo est exploitable.,À tester,,,,,,
C30,P2,Admin — Contenus,https://v0-big-five-bootcamp-platform.vercel.app/admin/creatives/new,Vidéo refusée — message clair,J'essaie d'uploader une vidéo trop lourde ou dans un format inhabituel.,Un message clair m'indique la taille maximale et les formats acceptés — pas d'échec silencieux.,À tester,,,,,,
C31,P2,Admin — Visuels,https://v0-big-five-bootcamp-platform.vercel.app/admin/creatives/new,Upload direct d'une image,"Dans l'admin, j'uploade une nouvelle image pour un contenu.","L'image s'affiche immédiatement (y compris sa miniature dans les listes), sans message d'erreur.",À tester,,,,,,
C32,P2,Admin — Visuels,https://v0-big-five-bootcamp-platform.vercel.app/admin/creatives,Plus de « Image Drive bloqué »,Je parcours les contenus de l'admin (listes et fiches) en regardant les visuels.,Plus aucun message « Image Drive bloqué — ré-uploader » nulle part.,À tester,,,,,,
C33,P2,Admin — Visuels,https://v0-big-five-bootcamp-platform.vercel.app/admin/creatives,Anciens visuels Drive accessibles,J'ouvre un contenu dont le visuel datait de l'époque Google Drive.,"Soit l'image s'affiche normalement (si elle a été migrée), soit un lien « Voir l'image » l'ouvre dans un nouvel onglet — dans tous les cas, le visuel est accessible en un clic.",À tester,,,,,,
C34,P2,Admin — Actions,https://v0-big-five-bootcamp-platform.vercel.app/admin/creatives,Ouvrir un visuel en nouvel onglet,"Dans la liste des actions de l'admin, je clique pour voir un visuel.",Le visuel s'ouvre dans un nouvel onglet du navigateur.,À tester,,,,,,
C35,P2,Page Tarifs,https://v0-big-five-bootcamp-platform.vercel.app/pricing,Tag « Recommandé »,J'ouvre la page des tarifs et je regarde la carte du plan Pro.,Le badge indique « Recommandé » (plus « Populaire »).,À tester,,,,,,
C36,P2,Page Tarifs,https://v0-big-five-bootcamp-platform.vercel.app/pricing,Titre bien aligné,"Je regarde le titre « Des tarifs adaptés à votre ambition », sur ordinateur et sur téléphone.",Le titre est bien centré ou tient sur une seule ligne — pas de retour à la ligne disgracieux.,À tester,,,,,,
C37,P2,Page Tarifs,https://v0-big-five-bootcamp-platform.vercel.app/pricing,Trois colonnes de même largeur,"Je compare visuellement les trois colonnes Découverte, Basic et Pro.",Les trois colonnes ont exactement la même largeur.,À tester,,,,,,
C38,P2,Promo & Checkout,https://v0-big-five-bootcamp-platform.vercel.app/admin/settings,Mode aperçu promo (admin),"Connecté en admin, j'active le toggle « Mode aperçu promo » dans Paramètres > Aperçu de la promotion, j'enregistre, puis je navigue sur le site.","La bannière carrousel, le popup quotidien, les badges « Offre limitée », le compte à rebours et les offres promo (3 mois Basic / 2 mois Pro à 10 000 FCFA) s'affichent comme en période réelle.",À tester,,,,,,
C39,P2,Promo & Checkout,https://v0-big-five-bootcamp-platform.vercel.app/,Aperçu promo invisible pour les utilisateurs,"Avec un compte utilisateur normal (non admin), hors période de promo, je navigue sur le site.","Aucun élément promo ne s'affiche : ni bannière, ni popup, ni offres promo au checkout.",À tester,,,,,,
C40,P2,Général,"https://v0-big-five-bootcamp-platform.vercel.app/onboarding , /pricing , /dashboard , /checkout",Affichage mobile des nouveautés,"Sur téléphone, je reteste : onboarding (champ pays), page tarifs, bloc #BigFiveDécrypte, page de paiement.","Tout s'affiche correctement, sans éléments coupés ni boutons inaccessibles.",À tester,,,,,,
